Date,AAPL,CVX,JNJ,MSFT,NVDA,PFE,UNH,XOM
2019-06-17,58676400,4219100,5562800,14517800,276040000,14094931,2270300,9355700
2019-06-18,106204000,4884300,7122700,25934500,581920000,22833434,3482500,10091500
2019-06-19,84496800,3847100,6393400,23744400,331644000,21753611,4204600,9757400
2019-06-20,86056000,7771700,7335800,33042600,350168000,23500300,3800800,16229700
2019-06-21,191202400,14287900,11272200,36727900,434428000,38141203,6323500,23108100
2019-06-24,72881600,5542600,5894700,20628800,282948000,24624075,3163800,10011800
2019-06-25,84281200,4713300,7517000,33327400,311868000,28429015,3182700,9740000
2019-06-26,104270000,5054800,7674100,23657700,584072000,41009348,3852900,11365500
2019-06-27,83598800,3551700,5233500,16557500,445440000,21994977,3366200,8147800
2019-06-28,124442400,7048300,12792400,30043000,397668000,39726209,6727600,14781300
2019-07-01,109012000,5526900,5872300,22613500,709756000,21341392,4102700,11437900
2019-07-02,67740800,5747700,4501200,15237800,400228000,16541898,3863500,10475400
2019-07-03,45448000,2725800,3436300,13629300,246636000,10297580,2559400,5246100
2019-07-05,69062000,3458900,4652400,18141100,396552000,18295227,2965000,6880800
2019-07-08,101354400,3505200,4078100,16779700,329788000,23955312,1902500,7876100
2019-07-09,82312000,3955600,4217400,19953100,342860000,14223308,2774800,7863000
2019-07-10,71588400,4743500,4874400,24204400,452076000,15298599,2753000,8077400
2019-07-11,80767200,3548000,5817400,22327900,682560000,38383518,10268800,6404000
2019-07-12,70380800,3974400,17780100,18936800,506392000,33580967,5336100,6139000
2019-07-15,67789600,3739200,10038200,16651500,289840000,20363912,2611400,7116400
2019-07-16,67467200,4697600,10214500,22726100,341444000,19553386,3121600,10197400
2019-07-17,56430000,3874200,8862100,20211000,348204000,16341532,3995200,7419300
2019-07-18,74162400,5770700,6203100,30381800,442192000,13728877,5825800,11424500
2019-07-19,83717200,4880900,8340200,48992400,344896000,23552579,4413200,11243100
2019-07-22,89111600,3275800,12624800,25074900,315940000,12552086,4104300,8368800
2019-07-23,73420800,4295300,5803600,18034600,428176000,19586904,2889300,8551200
2019-07-24,59966400,4796900,6838600,20738300,366236000,18117838,4864000,8260200
2019-07-25,55638400,4586800,8897800,18356900,392700000,17514634,3362800,9083900
2019-07-26,70475600,6971700,4894600,19037600,274160000,21062187,3362600,7677300
2019-07-29,86693600,4377500,7832000,16605900,248160000,64559186,2005500,7091900
2019-07-30,135742800,3871700,5509600,16846500,197772000,95739668,1908800,6961200
2019-07-31,277125600,7199500,8559200,38598800,359416000,56309423,3532400,13104600
2019-08-01,216071600,7928400,7870700,40557500,421212000,51624920,3613600,17132800
2019-08-02,163448400,9026200,6574900,30791600,428348000,29153640,2677600,21376700
